mtry,ROC,Sens,Spec,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,Accuracy,Kappa,J,Dist,ROCSD,SensSD,SpecSD,SensitivitySD,SpecificitySD,Pos Pred ValueSD,Neg Pred ValueSD,PrecisionSD,RecallSD,F1SD,PrevalenceSD,Detection RateSD,Detection PrevalenceSD,Balanced AccuracySD,AccuracySD,KappaSD,JSD,DistSD,cluster,model,shrinkage,interaction.depth,n.minobsinnode,n.trees,char_vars
NA,0.9174488226802551,0.8367250148571476,0.8346428036522843,0.8367250148571476,0.8346428036522843,0.8337418048396396,0.8371559326062707,0.8337418048396396,0.8367250148571476,0.8345396449545833,0.49991570468855934,0.4180141864727532,0.5010978639427746,0.8356839092547159,0.8350148043141724,0.669991950803522,0.6713678185094318,0.23490060941315474,0.0214645315981023,0.04940382422146137,0.02810269627422634,0.04940382422146137,0.02810269627422634,0.03492933343984903,0.04883783765011573,0.034929333439849004,0.04940382422146137,0.03434243342042889,0.02496602153080903,0.02822769073625816,0.019823378383841146,0.03173600517268554,0.031916564814386914,0.063811296087486,0.06347201034537107,0.04385425738526859,cluster.12,gbm,0.1,2,10,150,"accum30, nppmmid30agg, cpg30precip, tpi30agg, decid30RS, NDVI_med, Green_med"
NA,0.9190590285506407,0.8423479589378888,0.8373746125176322,0.8423479589378888,0.8373746125176322,0.8369711844813013,0.8424252503984428,0.8369711844813013,0.8423479589378888,0.838921547728567,0.49991570468855934,0.42091001535468825,0.5027079927604852,0.8398612857277605,0.8391963332603319,0.6783172150001309,0.6797225714555212,0.2295004939642808,0.020924058411224824,0.047269050688366565,0.03104540104116349,0.047269050688366565,0.03104540104116349,0.03754844609696627,0.04601037989978557,0.037548446096966295,0.047269050688366565,0.03338964820570685,0.02496602153080903,0.02843102957466507,0.02104762824024664,0.03040318781927759,0.030351802288088394,0.060873605282862446,0.06080637563855518,0.04094804358233027,cluster.12,gbm,0.1,3,10,150,"accum30, nppmmid30agg, cpg30precip, tpi30agg, decid30RS, NDVI_med, Green_med"
NA,0.9083001511329989,0.8264241389037309,0.8253333136009072,0.8264241389037309,0.8253333136009072,0.8244670011152924,0.8260217578569985,0.8244670011152924,0.8264241389037309,0.8243015017185369,0.49943979996195825,0.41244622650605695,0.5004543971972784,0.8258787262523191,0.8249982558528772,0.6493080162317242,0.6517574525046381,0.25000667872396976,0.025743662414456737,0.03647417062344578,0.046221936104605614,0.03647417062344578,0.046221936104605614,0.049063051633521565,0.039385424017735766,0.04906305163352156,0.03647417062344578,0.028633184247129066,0.040120529406142184,0.03472464506394818,0.033006929936089065,0.02663812706866045,0.026441853616465002,0.05252197178587589,0.0532762541373209,0.03732501002893254,cluster.13,gbm,0.1,1,10,50,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, decid30RS, twi30agg"
NA,0.9135031130736939,0.8331641825628886,0.8277945974602364,0.8331641825628886,0.8277945974602364,0.8270034405120437,0.8327673527466563,0.8270034405120437,0.8331641825628886,0.8291846124832017,0.49943979996195825,0.41608929390840677,0.5028821224397768,0.8304793900115626,0.8298566654150784,0.6588981112398634,0.6609587800231251,0.24275186236068685,0.025513024700219596,0.03823652123808122,0.04223500956345591,0.03823652123808122,0.04223500956345591,0.04855017449865546,0.03935482174150141,0.04855017449865544,0.03823652123808122,0.03318286906585133,0.040120529406142184,0.039043492576831415,0.03271464125286323,0.02888815334047498,0.029257611888459698,0.05804190131569438,0.05777630668094996,0.04057460610479304,cluster.13,gbm,0.1,2,10,50,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, decid30RS, twi30agg"
NA,0.9153120071501828,0.8400681963114451,0.8256618327772034,0.8400681963114451,0.8256618327772034,0.826670217917218,0.8381089389293458,0.826670217917218,0.8400681963114451,0.8322769957860354,0.49943979996195825,0.41933226355640185,0.507129370007681,0.8328650145443243,0.8320953571431644,0.6634787468601591,0.6657300290886486,0.24015693284074463,0.02542372576809775,0.04106078421645831,0.04001462294559807,0.04106078421645831,0.04001462294559807,0.04503698809433866,0.04307836084056955,0.04503698809433862,0.04106078421645831,0.030136251047513718,0.040120529406142184,0.03736962401654622,0.03352078207002738,0.026491958414834864,0.026948532238262896,0.05339232988402856,0.05298391682966973,0.037343275984935385,cluster.13,gbm,0.1,3,10,50,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, decid30RS, twi30agg"
NA,0.912434196296414,0.8294293329385738,0.8329803894758219,0.8294293329385738,0.8329803894758219,0.8308028908420677,0.8304405949840623,0.8308028908420677,0.8294293329385738,0.8291790461457773,0.49943979996195825,0.4141171797213266,0.49823054339951867,0.8312048612071978,0.8305640160811762,0.6603353896744367,0.6624097224143958,0.24182412998382533,0.02704246884749172,0.041816368468152225,0.04084092287702064,0.041816368468152225,0.04084092287702064,0.04618530596595125,0.04211245198042963,0.04618530596595127,0.041816368468152225,0.03318241130391001,0.040120529406142184,0.038682539602741754,0.03355690148313614,0.029452781227952304,0.02979041242913458,0.05890677367924152,0.05890556245590461,0.04197781963230248,cluster.13,gbm,0.1,1,10,100,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, decid30RS, twi30agg"
NA,0.9160755933743382,0.8354718043808429,0.8323759451897883,0.8354718043808429,0.8323759451897883,0.8310759966397687,0.8352005641208212,0.8310759966397688,0.8354718043808429,0.8323503285146321,0.49943979996195825,0.4171536748595999,0.5017200185077629,0.8339238747853156,0.8331475312494786,0.6655598875883317,0.6678477495706312,0.23789786917552017,0.02688283130400058,0.03925550665201029,0.043574771048918166,0.03925550665201029,0.043574771048918166,0.04989426249843912,0.041129179038338286,0.049894262498439104,0.03925550665201029,0.03429073443787039,0.040120529406142184,0.038062402542005436,0.030675469990473533,0.030640971033647692,0.030780676860465806,0.06132251108762695,0.061281942067295384,0.043046933991788605,cluster.13,gbm,0.1,2,10,100,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, decid30RS, twi30agg"
NA,0.9176175890188599,0.8432878902022521,0.8315880216204792,0.8432878902022521,0.8315880216204792,0.8318960278094978,0.8415481500854043,0.8318960278094978,0.8432878902022521,0.8366076087626209,0.49943979996195825,0.4210188142148034,0.5059554902823628,0.8374379559113656,0.8366423381852858,0.672560915268643,0.6748759118227313,0.23324794711854235,0.025907541774970465,0.037858310681558704,0.04395919784247369,0.037858310681558704,0.04395919784247369,0.04889743273022859,0.04062923086076051,0.04889743273022861,0.037858310681558704,0.0323695258338275,0.040120529406142184,0.03734839576386429,0.0311766285636314,0.029331516895114384,0.0294554753465992,0.05875272030836634,0.05866303379022877,0.041443019386795586,cluster.13,gbm,0.1,3,10,100,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, decid30RS, twi30agg"
NA,0.9137669056364601,0.8311789455459825,0.8364510970790271,0.8311789455459825,0.8364510970790271,0.8340509256102904,0.8323081405369245,0.8340509256102904,0.8311789455459825,0.8317795868340262,0.49943979996195825,0.41506969625065504,0.49743749685629896,0.8338150213125048,0.8332620956830529,0.6656785223576193,0.6676300426250096,0.2377077102445856,0.028155472817508,0.038587941544557296,0.04163649742274475,0.038587941544557296,0.04163649742274475,0.047278402815208405,0.03980367770966523,0.04727840281520841,0.038587941544557296,0.03352956823258439,0.040120529406142184,0.03863180200318419,0.03270389260746727,0.029907474864209076,0.03035140120585342,0.060154896987089514,0.05981494972841815,0.042742133768145965,cluster.13,gbm,0.1,1,10,150,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, decid30RS, twi30agg"
NA,0.9169090255910036,0.8380343231871888,0.8328008761087548,0.8380343231871888,0.8328008761087548,0.8320432443763061,0.8375114566404315,0.8320432443763061,0.8380343231871888,0.8340204799405375,0.49943979996195825,0.4184310238130006,0.5027886321168363,0.8354175996479718,0.8346336155472067,0.6685499232962994,0.6708351992959436,0.23623377018096686,0.02699607753789075,0.03981481406079235,0.044879002049153766,0.03981481406079235,0.044879002049153766,0.050442589154720205,0.04134028472545481,0.05044258915472019,0.03981481406079235,0.03378234564384541,0.040120529406142184,0.03825842379784205,0.03238364139983234,0.030247984528133487,0.030482847300933445,0.060701110169818315,0.060495969056266974,0.04244529997248966,cluster.13,gbm,0.1,2,10,150,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, decid30RS, twi30agg"
NA,0.9181287482337838,0.8456847533950053,0.8326345559494797,0.8456847533950053,0.8326345559494797,0.8332421075303036,0.8439413480157911,0.8332421075303036,0.8456847533950053,0.838326773210313,0.49943979996195825,0.4221862396801268,0.5066531730735787,0.8391596546722425,0.8382795063247166,0.6758873808504666,0.6783193093444849,0.2315795361096265,0.026345801898832694,0.04189362399110322,0.04745998941519483,0.04189362399110322,0.04745998941519483,0.05119473915885922,0.0435618827289951,0.051194739158859214,0.04189362399110322,0.03440475870944118,0.040120529406142184,0.03802917154325064,0.03305533970416546,0.03156885680593102,0.031618180152636476,0.06313144617258847,0.06313771361186205,0.04474718297771358,cluster.13,gbm,0.1,3,10,150,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, decid30RS, twi30agg"
