stream,ID,twi30agg,tpi30agg,accum30,vv30agg,vvsd30agg,npol30agg,NDVI_med,nppmmid30agg,deficitRS,cad30RS,decid30RS,Green_med,NIR_med,cpg30precip,NHDPlus,utm1,utm2,lon,Class,spatial_cluster80,spatial_cluster40,sb_med
X1,1843,8.23743343353271,-1.4388427734375,2473.95434570312,-7.63774681091309,1.45024645328522,0.282072186470032,0.705314815044403,5233.08984375,254,-3.16170167922974,0.310517936944962,333.927398681641,1510.54235839844,83586,1,192060.5756,538193.126800001,-115.046217672612,X1,26,128,6
X1,258,7.99848937988281,-1.46732580661774,1622.88720703125,-8.37318897247314,1.53744077682495,0.271352857351303,0.689241111278534,4881.8095703125,283,-4.69890689849854,0.146052107214928,334.848297119141,1417.18127441406,69099,1,207229.1887,521075.4101,-114.824846922292,X1,73,11,4
X1,79,6.45563220977783,0.338189005851746,530.29052734375,-8.19786071777344,1.49061274528503,0.257370591163635,0.752153813838959,5177.8583984375,251,-5.60575771331787,0.300028860569,431.941741943359,2292.59228515625,72376,0,209708.8686,517570.203199999,-114.788129634391,X1,108,61,4
X1,3287,7.48242425918579,-3.34616422653198,1466.47973632812,-8.63070297241211,1.56309294700623,0.265188544988632,0.712015151977539,5021.5,278,-4.46330881118774,0.27817091345787,368.388427734375,1678.90454101562,54486,0,191987.9001,550124.282199999,-115.058691072632,X1,26,128,2
X1,2770,8.81284046173096,-0.633992493152618,2691.63623046875,-9.87336826324463,2.04617714881897,0.210193157196045,0.641735792160034,3328.42211914062,276,-2.27506875991821,0.304189294576645,549.496215820312,2196.2890625,78420,0,176912.593800001,547249.095899999,-115.260473470419,X1,49,96,3
X1,902,9.13222789764404,-2.08482527732849,3123.6796875,-8.58596229553223,1.63731169700623,0.269767612218857,0.634503245353699,2016.02954101562,263,-2.37908411026001,0.258453547954559,506.052093505859,2074.197265625,88691,1,209843.9804,526684.4705,-114.794636561813,X1,108,52,3
X1,3878,8.30101013183594,-6.29581689834595,4212.927734375,-6.45368194580078,2.86543893814087,0.353148967027664,0.711194157600403,6470.3671875,217,-5.41515827178955,0.0801061019301414,367.168853759766,1733.41796875,108641,0,170376.8791,559895.941500001,-115.361989288021,X1,67,200,6
X1,561,7.84512042999268,-2.0040283203125,4187.61865234375,-6.91941547393799,2.4981095790863,0.315961271524429,0.751339375972748,6550.77685546875,267,-3.86375188827515,0.181499809026718,531.791442871094,2807.90795898438,74148,0,184483.0735,526434.031199999,-115.137403723545,X1,70,134,10
X1,3435,6.13445615768433,-0.0716688334941864,8738.5380859375,-6.71720266342163,2.54001641273499,0.338084489107132,0.71347451210022,5120.2587890625,386,-6.68577480316162,0.045098390430212,481.994812011719,2279.35473632812,52084,1,191663.960000001,551331.662799999,-115.064255731506,X1,5,14,2
X1,4321,11.9930629730225,-0.0801459401845932,6266.49169921875,-11.2450933456421,1.8188328742981,0.201108455657959,0.634914100170135,4540.572265625,444,-11.0205821990967,0.0350438952445984,499.964172363281,2037.97998046875,38917,0,189216.0341,569185.248,-115.114903632721,X1,84,210,7
X1,1169,7.97317695617676,-0.0457085520029068,804.323181152344,-7.76396560668945,3.39105868339539,0.319708108901978,0.702438533306122,3426.44897460938,272,-2.93773555755615,0.230342581868172,578.155334472656,2889.33837890625,89176,0,163678.739800001,533119.2454,-115.425458211721,X1,102,72,5
X1,959,8.05716991424561,-1.21169710159302,553.639892578125,-7.72243690490723,1.65101981163025,0.292247742414474,0.730352282524109,6410.2763671875,281,-10.0997352600098,0.205927655100822,329.487640380859,1530.20068359375,87418,0,157315.3521,532355.4822,-115.510745768805,X1,11,13,4
X1,2181,9.97013092041016,-0.639309346675873,2377.49951171875,-9.61425304412842,1.68755257129669,0.236540824174881,0.715438604354858,5235.19970703125,426,-9.91550731658936,0.155189126729965,484.053192138672,2272.2490234375,51285,0,206722.907400001,540144.101399999,-114.849311344966,X1,29,150,8
X1,1258,10.5153617858887,-2.22509765625,3492.70947265625,-7.28629922866821,2.51814270019531,0.353758484125137,0.736261665821075,5344.99951171875,370,-7.66173601150513,0.0958286821842194,455.859741210938,2259.18994140625,79123,1,211387.4197,529016.7349,-114.775882486314,X1,48,121,3
